route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,A20111204WKD,A20111204WKD_031300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_026700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_033300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_028400_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_034700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_029900_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_036000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_031050_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_037000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_031850_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_038000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_032650_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_039000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_033450_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_039900_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_034250_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_040700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_035050_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_041500_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_035850_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_042300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_036650_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_043000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_037450_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_043700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_038250_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_044400_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_039050_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_045100_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_039650_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_045700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_040250_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20111204WKD,A20111204WKD_046300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_040650_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_046800_1..N12R,137 ST - CITY COLLEGE,0,,
1,A20111204WKD,A20111204WKD_041250_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20111204WKD,A20111204WKD_047300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_041650_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_047800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_042100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_048300_1..N12R,137 ST - CITY COLLEGE,0,,
1,A20111204WKD,A20111204WKD_042700_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20111204WKD,A20111204WKD_048800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_043100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_049300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_043500_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_049800_1..N12R,137 ST - CITY COLLEGE,0,,
1,A20111204WKD,A20111204WKD_043950_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20111204WKD,A20111204WKD_050250_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_044150_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_050600_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_044600_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20111204WKD,A20111204WKD_050900_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_044800_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_051200_1..N12R,137 ST - CITY COLLEGE,0,,
1,A20111204WKD,A20111204WKD_045250_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20111204WKD,A20111204WKD_051700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_045500_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_052050_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_045950_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20111204WKD,A20111204WKD_052400_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_046200_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_052750_1..N13R,215 ST,0,,
1,A20111204WKD,A20111204WKD_046650_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20111204WKD,A20111204WKD_053050_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_046800_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_053350_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_047200_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_053650_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_049350_1..S12R,SOUTH FERRY,1,,
1,A20111204WKD,A20111204WKD_053950_1..N13R,215 ST,0,,
1,A20111204WKD,A20111204WKD_047600_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_054250_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_048000_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_054550_1..N13R,215 ST,0,,
1,A20111204WKD,A20111204WKD_048500_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20111204WKD,A20111204WKD_054850_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_048600_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_055150_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_050850_1..S12R,SOUTH FERRY,1,,
1,A20111204WKD,A20111204WKD_055450_1..N13R,215 ST,0,,
1,A20111204WKD,A20111204WKD_049100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_055750_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_049500_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20111204WKD,A20111204WKD_056050_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_049800_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_056400_1..N13R,215 ST,0,,
1,A20111204WKD,A20111204WKD_052150_1..S12R,SOUTH FERRY,1,,
1,A20111204WKD,A20111204WKD_056800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_050400_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_057200_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_051000_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_057600_1..N13R,215 ST,0,,
1,A20111204WKD,A20111204WKD_053350_1..S12R,SOUTH FERRY,1,,
1,A20111204WKD,A20111204WKD_058000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_051700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_058400_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_052400_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_058800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_054700_1..S12R,SOUTH FERRY,1,,
1,A20111204WKD,A20111204WKD_059200_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_053200_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_059700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_053900_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_060200_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_056200_1..S12R,SOUTH FERRY,1,,
1,A20111204WKD,A20111204WKD_060700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_054750_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_061200_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_055400_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_061700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_055900_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_062200_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_056500_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_062750_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_057050_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_063300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_057600_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_063800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_058100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_064300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_058600_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_064800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_059100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_065300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_059600_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_065800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_060100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_066300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_060600_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_066800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_061100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_067300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_061600_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_067800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_062100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_068300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_062600_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_068800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_063100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_069400_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_063600_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_070000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_064100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_070600_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_064600_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_071200_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_065100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_071800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_065600_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_072400_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_066100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_073000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_066700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_073600_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_067300_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_074200_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_067900_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_074800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_068500_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_075400_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_069100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_076000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_069700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_076600_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_070300_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_077200_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_070900_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_077800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_071500_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_078400_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_072100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_079000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_072700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_079600_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_073300_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_080200_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_073900_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_080800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_074500_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_081400_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_075100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_082000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_075700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_082600_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_076300_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_083200_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_076900_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_083800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_077500_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_084400_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_078100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_085000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_078700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_085600_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_079300_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_086200_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_079900_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_086800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_080500_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_087400_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_081100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_088000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_081700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_088600_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_082300_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_089200_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_082900_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_089800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_083500_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_090400_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_084100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_090950_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_084700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_091500_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_085300_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_092050_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_085900_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_092600_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_086500_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_093150_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_087100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_093700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_087700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_094250_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_088300_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_094800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_088900_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_095350_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_089500_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_095900_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_090050_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_096450_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_090550_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_096950_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_091050_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_097450_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_091550_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_097850_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_092050_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_098350_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_092550_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_098800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_093050_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_099300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_093550_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_099800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_094050_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_100250_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_094550_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_100700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_095050_1..S03R,SOUTH FERRY,1,,1..S03R
