Division,Line,Station_Name,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,ADA,ADA_Notes,Free_Crossover,Entrance_Type,Entry,Exit_Only,Entrance_Staffing,North_South_Street,East_West_Street,Corner,Latitude,Longitude
BMT,Astoria,30 Av,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,30th Ave,NE,40766963,-73921192
BMT,Astoria,30 Av,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,30th Ave,SE,40766700,-73921406
BMT,Astoria,30 Av,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,30th Ave,NW,40767052,-73921409
BMT,Astoria,30 Av,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,30th Ave,SW,40766787,-73921629
BMT,Astoria,36 Av,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,36th Ave,NW,40756796,-73929740
BMT,Astoria,36 Av,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,36th Ave,SE,40756379,-73929766
BMT,Astoria,36 Av,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,36th Ave,SW,40756478,-73929993
BMT,Astoria,39 Av,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,39th Ave,NW,40752901,-73932903
BMT,Astoria,39 Av,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,39th Ave,SE,40752491,-73932936
BMT,Astoria,Astoria Blvd,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,Hoyt Ave North,NE,40770870,-73916935
BMT,Astoria,Astoria Blvd,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,Hoyt Ave North,NW,40771009,-73917167
BMT,Astoria,Astoria Blvd,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,Hoyt Ave South,SE,40770170,-73917755
BMT,Astoria,Astoria Blvd,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,Hoyt Ave South,SW,40770313,-73917978
BMT,Astoria,Astoria-Ditmars Blvd,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,23rd Ave,NE,40775025,-73911891
BMT,Astoria,Astoria-Ditmars Blvd,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,23rd Ave,NW,40775149,-73912074
BMT,Astoria,Astoria-Ditmars Blvd,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,23rd Ave,NE,40774810,-73912151
BMT,Astoria,Astoria-Ditmars Blvd,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,23rd Ave,NW,40774938,-73912337
BMT,Astoria,Broadway,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,Broadway,NW,40762217,-73925349
BMT,Astoria,Broadway,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,Broadway,SE,40761773,-73925399
BMT,Astoria,Broadway,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,Broadway,SW,40761880,-73925638
BMT,Brighton,7 Av,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Carlton Ave,Park Pl,SE,40677324,-73972212
BMT,Brighton,7 Av,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Flatbush Ave,Park Pl,SW,40677365,-73972788
BMT,Brighton,Atlantic Av,B,D,N,Q,R,2,3,4,5,,,TRUE,,TRUE,Easement,YES,,NONE,Ashland Pl,Hanson Pl,NE,40685222,-73977628
BMT,Brighton,Avenue H,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,NO,YES,NONE,15th St,Avenue H,SE,40629884,-73961882
BMT,Brighton,Avenue H,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,NO,YES,NONE,15th St,Avenue H,SE,40629933,-73961899
BMT,Brighton,Avenue H,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,16th St,Avenue H,SW,40629930,-73961477
BMT,Brighton,Avenue J,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,15th St,Avenue J,SE,40625140,-73960798
BMT,Brighton,Avenue J,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,NO,YES,NONE,15th St,Avenue J,SE,40625109,-73960961
BMT,Brighton,Avenue M,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,15th St,Avenue M,SE,40617928,-73959454
BMT,Brighton,Avenue M,B,Q,,,,,,,,,,FALSE,,TRUE,Door,NO,YES,NONE,,Avenue M,SW,40617876,-73959571
BMT,Brighton,Avenue U,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,15th St,Avenue U,SE,40598991,-73955828
BMT,Brighton,Avenue U,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,NO,YES,NONE,15th St,Avenue U,NE,40598978,-73956001
BMT,Brighton,Beverly Rd,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,Marlborough Rd,Beverly Rd,SE,40644272,-73964528
BMT,Brighton,Brighton Beach,B,Q,,,,,,,,,,FALSE,,TRUE,Escalator,YES,,FULL,7 St,Brighton Beach,NE,40577986,-73960258
BMT,Brighton,Brighton Beach,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Branch 6 St,Brighton Beach Rd,SW,40577425,-73961719
BMT,Brighton,Brighton Beach,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Branch 6 St,Brighton Beach Rd,NW,40577656,-73961792
BMT,Brighton,Brighton Beach,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Branch 6 St,Brighton Beach Rd,SW,40577387,-73961912
BMT,Brighton,Brighton Beach,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Branch 6 St,Brighton Beach Rd,NW,40577618,-73961994
BMT,Brighton,Brighton Beach,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Branch 7 St,Brighton Beach Rd,SE,40577746,-73960231
BMT,Brighton,Brighton Beach,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Branch 7 St,Brighton Beach Rd,SE,40577697,-73960438
BMT,Brighton,Brighton Beach,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Branch 7 St,Brighton Beach Rd,NE,40577931,-73960524
BMT,Brighton,Church Av,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,18th St,Church Ave,NW,40649427,-73963356
BMT,Brighton,Church Av,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,NONE,St. Pauls Pl,Caton Ave,SE,40651482,-73962732
BMT,Brighton,Cortelyou Rd,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,Marlborough Rd,Cortelyou Rd,SE,40641314,-73963996
BMT,Brighton,Kings Hwy,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,15th St,Kings Hwy,SE,40608835,-73957769
BMT,Brighton,Kings Hwy,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,NONE,15th St,Kings Hwy,NE,40609062,-73957808
BMT,Brighton,Kings Hwy,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,PART,E 16 St,Quentin Rd,W,40608319,-73957352
BMT,Brighton,Kings Hwy,B,Q,,,,,,,,,,FALSE,,TRUE,Doorway,NO,YES,NONE,E 16 St,Kings Highway,SW,40608780,-73957925
BMT,Brighton,Neck Rd,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,15th St,Gravesend Neck Rd,NE,40595020,-73955120
BMT,Brighton,Newkirk Av,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,Marlborough Rd,Newkirk Ave,SE,40635034,-73962736
BMT,Brighton,Ocean Pkwy,Q,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Ocean Pkwy,Brighton Beach Rd,SE,40576234,-73967561
BMT,Brighton,Ocean Pkwy,Q,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Ocean Pkwy,Brighton Beach Rd,NE,40576445,-73967591
BMT,Brighton,Ocean Pkwy,Q,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Ocean Pkwy,Brighton Beach Rd,SE,40576209,-73967875
BMT,Brighton,Ocean Pkwy,Q,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Ocean Pkwy,Brighton Beach Rd,NE,40576423,-73967894
BMT,Brighton,Ocean Pkwy,Q,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Ocean Pkwy,Brighton Beach Rd,NW,40576487,-73969243
BMT,Brighton,Ocean Pkwy,Q,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Ocean Pkwy,Brighton Beach Rd,NW,40576507,-73969445
BMT,Brighton,Parkside Av,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,Ocean Ave,Parkside Ave,NE,40655221,-73961516
BMT,Brighton,Parkside Av,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,NO,YES,NONE,Ocean Ave,Woodruff Ave,NW,40654251,-73961909
BMT,Brighton,Prospect Park,B,Q,FS,,,,,,,,,TRUE,,TRUE,Stair,YES,,NONE,Flatbush Ave,Empire Blvd,SW,40662727,-73962249
BMT,Brighton,Prospect Park,B,Q,FS,,,,,,,,,TRUE,,TRUE,Stair,YES,,NONE,Flatbush Ave,Empire Blvd,SW,40662482,-73962285
BMT,Brighton,Prospect Park,B,Q,FS,,,,,,,,,TRUE,,TRUE,Door,YES,,FULL,Ocean Ave,Lincoln Rd,NE,40660792,-73962109
BMT,Brighton,Sheepshead Bay,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,NONE,14th St,Voorhies Ave,NE,40585734,-73954371
BMT,Brighton,Sheepshead Bay,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,15th St,Sheepshead Bay Rd,SE,40587302,-73954224
BMT,Broadway,14 St-Union Sq,L,N,Q,R,4,5,6,,,,,TRUE,Lex not ADA,TRUE,Easement,YES,,NONE,4th Ave,15th St,SW,40735184,-73989793
BMT,Broadway,14 St-Union Sq,L,N,Q,R,4,5,6,,,,,TRUE,Lex not ADA,TRUE,Stair,YES,,NONE,4th Ave,15th St,SW,40735311,-73990265
BMT,Broadway,14 St-Union Sq,L,N,Q,R,4,5,6,,,,,TRUE,Lex not ADA,TRUE,Stair,YES,,NONE,Broadway,16th St,NE,40736523,-73990447
BMT,Broadway,14 St-Union Sq,L,N,Q,R,4,5,6,,,,,TRUE,Lex not ADA,TRUE,Stair,YES,,NONE,Broadway,16th St,SE,40736339,-73990603
BMT,Broadway,14 St-Union Sq,L,N,Q,R,4,5,6,,,,,TRUE,Lex not ADA,TRUE,Stair,YES,,NONE,Broadway,14th St,SW,40734755,-73990991
BMT,Broadway,14 St-Union Sq,L,N,Q,R,4,5,6,,,,,TRUE,Lex not ADA,TRUE,Stair,YES,,FULL,Broadway,14th St,NE,40735278,-73991058
BMT,Broadway,14 St-Union Sq,L,N,Q,R,4,5,6,,,,,TRUE,Lex not ADA,TRUE,Stair,YES,,NONE,Broadway,14th St,SW,40734859,-73991235
BMT,Broadway,23 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,5th Ave,22nd St,NE,40741208,-73989639
BMT,Broadway,23 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,Broadway,23rd St,NE,40741378,-73988895
BMT,Broadway,23 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,Broadway,23rd St,SE,40741111,-73988920
BMT,Broadway,23 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,Broadway,23rd St,NE,40741539,-73988989
BMT,Broadway,23 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,Broadway,23rd St,SE,40741080,-73989083
BMT,Broadway,23 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,22nd St,NE,40740643,-73989217
BMT,Broadway,23 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,23rd St,NW,40741913,-73989428
BMT,Broadway,23 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,NO,YES,NONE,Broadway,22nd St,NW,40740758,-73989632
BMT,Broadway,28 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,Broadway,28th St,SE,40745089,-73988472
BMT,Broadway,28 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,Broadway,28th St,NE,40745299,-73988579
BMT,Broadway,28 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,28th St,SW,40745281,-73988923
BMT,Broadway,28 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,28th St,NW,40745488,-73989010
BMT,Broadway,34 St-Herald Sq,B,D,F,M,N,Q,R,,,,,TRUE,,TRUE,Stair,YES,,NONE,6th Ave,34th St,NE,40749891,-73987495
BMT,Broadway,34 St-Herald Sq,B,D,F,M,N,Q,R,,,,,TRUE,,TRUE,Stair,YES,,NONE,6th Ave,34th St,SE,40749590,-73987620
BMT,Broadway,34 St-Herald Sq,B,D,F,M,N,Q,R,,,,,TRUE,,TRUE,Stair,YES,,NONE,Broadway,32nd St,NE,40748294,-73987976
BMT,Broadway,34 St-Herald Sq,B,D,F,M,N,Q,R,,,,,TRUE,,TRUE,Stair,YES,,NONE,Broadway,32nd St,NW,40748477,-73988288
BMT,Broadway,49 St,N,Q,R,,,,,,,,,TRUE,Northbound Only,FALSE,Easement,YES,,NONE,7th Ave,49th St,NE,40760454,-73983388
BMT,Broadway,49 St,N,Q,R,,,,,,,,,TRUE,Northbound Only,FALSE,Stair,YES,,NONE,7th Ave,49th St,SE,40760297,-73983567
BMT,Broadway,49 St,N,Q,R,,,,,,,,,TRUE,Northbound Only,FALSE,Stair,YES,,FULL,7th Ave,49th St,NW,40760621,-73983904
BMT,Broadway,49 St,N,Q,R,,,,,,,,,TRUE,Northbound Only,FALSE,Stair,YES,,FULL,7th Ave,49th St,SW,40760486,-73983974
BMT,Broadway,49 St,N,Q,R,,,,,,,,,TRUE,Northbound Only,FALSE,Easement,YES,,NONE,7th Ave,47th St,SE,40759030,-73984412
BMT,Broadway,49 St,N,Q,R,,,,,,,,,TRUE,Northbound Only,FALSE,Easement,YES,,NONE,7th Ave,47th St,NW,40759384,-73984709
BMT,Broadway,49 St,N,Q,R,,,,,,,,,TRUE,Northbound Only,FALSE,Easement,YES,,NONE,Broadway,47th St,NE,40759513,-73984884
BMT,Broadway,57 St-7 Av,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,7th Ave,57th St,NE,40765639,-73979764
BMT,Broadway,57 St-7 Av,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,7th Ave,57th St,NW,40765796,-73980012
BMT,Broadway,57 St-7 Av,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,7th Ave,57th St,SE,40765298,-73980033
BMT,Broadway,57 St-7 Av,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,7th Ave,57th St,SW,40765365,-73980341
BMT,Broadway,57 St-7 Av,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,7th Ave,55th St,NE,40764179,-73980683
BMT,Broadway,57 St-7 Av,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,7th Ave,55th St,SE,40764057,-73980803
BMT,Broadway,57 St-7 Av,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,7th Ave,55th St,NW,40764377,-73981167
BMT,Broadway,57 St-7 Av,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,7th Ave,55th St,SW,40764258,-73981278
BMT,Broadway,5th Av/59 St,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,5th Ave,60th St,SE,40764657,-73972229
BMT,Broadway,5th Av/59 St,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,5th Ave,60th St,NE,40764849,-73972306
BMT,Broadway,5th Av/59 St,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,5th Ave,60th St,SE,40764728,-73972396
BMT,Broadway,5th Av/59 St,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,5th Ave,60th St,NW,40765156,-73972501
BMT,Broadway,5th Av/59 St,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Grand Army Plaza,Central Park South,NE,40764859,-73973998
BMT,Broadway,5th Av/59 St,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Grand Army Plaza,Central Park South,NE,40764935,-73974191
BMT,Broadway,5th Av/59 St,N,Q,R,,,,,,,,,FALSE,,TRUE,Easement,YES,,NONE,Grand Army Plaza,Central Park South,SW,40764599,-73974228
BMT,Broadway,8 St-NYU,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,Broadway,8th Ave,NE,40730578,-73992216
BMT,Broadway,8 St-NYU,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,Broadway,8th Ave,SE,40730477,-73992286
BMT,Broadway,8 St-NYU,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,8th Ave,NW,40730716,-73992517
BMT,Broadway,8 St-NYU,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,8th Ave,SW,40730592,-73992620
BMT,Broadway,8 St-NYU,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,8th Ave,NW,40730773,-73992641
BMT,Broadway,8 St-NYU,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,8th Ave,SW,40730642,-73992737
BMT,Broadway,8 St-NYU,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,Waverly Pl,NE,40729678,-73993051
BMT,Broadway,8 St-NYU,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,Waverly Pl,NW,40729778,-73993262
BMT,Broadway,Canal St,J,N,Q,R,Z,6,,,,,,FALSE,NQRZ not ADA,TRUE,Stair,YES,,PART,Broadway,Canal St,NE,40719498,-74001606
BMT,Broadway,Canal St,J,N,Q,R,Z,6,,,,,,FALSE,NQRZ not ADA,TRUE,Stair,YES,,PART,Broadway,Canal St,SE,40719166,-74001774
BMT,Broadway,Canal St,J,N,Q,R,Z,6,,,,,,FALSE,NQRZ not ADA,TRUE,Stair,YES,,PART,Broadway,Canal St,SE,40719218,-74001850
BMT,Broadway,Canal St,J,N,Q,R,Z,6,,,,,,FALSE,NQRZ not ADA,TRUE,Stair,YES,,NONE,Broadway,Canal St,NW,40719585,-74001930
BMT,Broadway,Canal St,J,N,Q,R,Z,6,,,,,,FALSE,NQRZ not ADA,TRUE,Stair,YES,,NONE,Broadway,Canal St,NW,40719660,-74002019
BMT,Broadway,Canal St,J,N,Q,R,Z,6,,,,,,FALSE,NQRZ not ADA,TRUE,Stair,YES,,NONE,Broadway,Canal St,SW,40719408,-74002158
