PLAZAID,DATE,ETC,CASH
6,11/2/2011,"17,441","3,764"
7,11/2/2011,"75,434","10,864"
8,11/2/2011,"48,432","6,229"
9,11/2/2011,"91,066","18,967"
11,11/2/2011,"79,373","13,672"
1,11/1/2011,"56,431","19,843"
2,11/1/2011,"73,066","14,077"
3,11/1/2011,"77,538","23,523"
4,11/1/2011,"55,623","6,973"
5,11/1/2011,"18,150","2,898"
6,11/1/2011,"16,746","3,557"
7,11/1/2011,"75,757","11,276"
8,11/1/2011,"48,020","6,355"
9,11/1/2011,"89,112","18,982"
11,11/1/2011,"78,841","13,682"
1,10/31/2011,"55,141","20,770"
2,10/31/2011,"66,146","13,743"
3,10/31/2011,"71,474","23,607"
4,10/31/2011,"49,993","6,887"
5,10/31/2011,"17,395","2,980"
6,10/31/2011,"16,199","3,652"
7,10/31/2011,"65,998","10,937"
8,10/31/2011,"43,464","6,096"
9,10/31/2011,"85,190","19,399"
11,10/31/2011,"73,890","14,062"
1,10/30/2011,"38,724","21,922"
2,10/30/2011,"53,892","14,159"
3,10/30/2011,"58,339","26,097"
4,10/30/2011,"36,060","6,177"
5,10/30/2011,"12,450","2,764"
6,10/30/2011,"11,134","3,385"
7,10/30/2011,"55,897","11,913"
8,10/30/2011,"31,580","6,114"
9,10/30/2011,"67,546","21,781"
11,10/30/2011,"58,096","16,804"
1,10/29/2011,"35,068","19,420"
2,10/29/2011,"41,290","13,002"
3,10/29/2011,"49,904","23,144"
4,10/29/2011,"28,534","5,639"
5,10/29/2011,"10,874","2,430"
6,10/29/2011,"11,367","3,269"
7,10/29/2011,"50,013","11,983"
8,10/29/2011,"27,668","5,899"
9,10/29/2011,"55,002","18,685"
11,10/29/2011,"55,967","14,860"
1,10/28/2011,"61,825","23,562"
2,10/28/2011,"78,536","17,126"
3,10/28/2011,"82,093","26,989"
4,10/28/2011,"60,829","9,023"
5,10/28/2011,"19,337","3,370"
6,10/28/2011,"18,002","4,117"
7,10/28/2011,"79,144","14,047"
8,10/28/2011,"47,595","7,474"
9,10/28/2011,"98,307","24,029"
11,10/28/2011,"84,761","16,432"
1,10/27/2011,"55,696","19,492"
2,10/27/2011,"76,364","14,464"
3,10/27/2011,"77,415","23,049"
4,10/27/2011,"58,685","7,198"
5,10/27/2011,"18,012","2,839"
6,10/27/2011,"16,501","3,474"
7,10/27/2011,"78,035","12,245"
8,10/27/2011,"48,481","6,560"
9,10/27/2011,"89,252","18,743"
11,10/27/2011,"78,148","13,495"
1,10/26/2011,"56,757","19,352"
2,10/26/2011,"76,013","13,568"
3,10/26/2011,"77,898","23,052"
4,10/26/2011,"57,273","6,918"
5,10/26/2011,"18,801","3,129"
6,10/26/2011,"16,968","3,474"
7,10/26/2011,"76,429","11,124"
8,10/26/2011,"49,925","6,832"
9,10/26/2011,"90,330","19,355"
11,10/26/2011,"79,589","13,785"
1,10/25/2011,"55,979","19,247"
2,10/25/2011,"74,393","13,266"
3,10/25/2011,"78,086","23,333"
4,10/25/2011,"57,219","6,804"
5,10/25/2011,"18,789","3,103"
6,10/25/2011,"16,906","3,467"
7,10/25/2011,"75,003","11,040"
8,10/25/2011,"47,015","6,118"
9,10/25/2011,"90,633","19,048"
11,10/25/2011,"78,320","13,544"
1,10/24/2011,"55,038","19,877"
2,10/24/2011,"70,563","13,562"
3,10/24/2011,"77,060","23,987"
4,10/24/2011,"52,885","6,535"
5,10/24/2011,"17,557","3,005"
6,10/24/2011,"16,532","3,476"
7,10/24/2011,"72,281","10,955"
8,10/24/2011,"43,178","5,710"
9,10/24/2011,"89,803","20,008"
11,10/24/2011,"74,954","14,215"
1,10/23/2011,"46,666","25,718"
2,10/23/2011,"61,714","16,403"
3,10/23/2011,"72,118","31,224"
4,10/23/2011,"52,177","8,950"
5,10/23/2011,"13,881","3,065"
6,10/23/2011,"12,619","3,757"
7,10/23/2011,"62,452","13,587"
8,10/23/2011,"36,185","7,100"
9,10/23/2011,"89,909","27,720"
11,10/23/2011,"66,029","19,218"
1,10/22/2011,"50,775","26,530"
2,10/22/2011,"60,095","17,308"
3,10/22/2011,"71,937","32,061"
4,10/22/2011,"51,287","9,764"
5,10/22/2011,"14,853","3,106"
6,10/22/2011,"14,552","4,112"
7,10/22/2011,"62,275","15,365"
8,10/22/2011,"36,306","7,836"
9,10/22/2011,"91,161","28,032"
11,10/22/2011,"74,025","20,185"
1,10/21/2011,"59,205","23,204"
2,10/21/2011,"79,249","16,897"
3,10/21/2011,"79,115","26,788"
4,10/21/2011,"58,401","8,902"
5,10/21/2011,"17,284","3,091"
6,10/21/2011,"17,590","3,977"
7,10/21/2011,"77,647","14,356"
8,10/21/2011,"40,766","6,547"
9,10/21/2011,"98,836","23,923"
11,10/21/2011,"80,124","16,323"
1,10/20/2011,"56,715","20,066"
2,10/20/2011,"77,230","14,497"
3,10/20/2011,"79,510","24,257"
4,10/20/2011,"56,128","7,203"
5,10/20/2011,"16,583","2,813"
6,10/20/2011,"16,884","3,625"
7,10/20/2011,"79,439","12,584"
8,10/20/2011,"39,986","5,682"
9,10/20/2011,"93,265","20,058"
11,10/20/2011,"75,814","13,757"
1,10/19/2011,"53,950","18,517"
2,10/19/2011,"70,355","13,384"
3,10/19/2011,"73,033","21,651"
4,10/19/2011,"53,158","6,732"
5,10/19/2011,"16,809","2,787"
6,10/19/2011,"16,048","3,298"
7,10/19/2011,"74,699","11,363"
8,10/19/2011,"43,098","5,768"
9,10/19/2011,"85,084","17,622"
11,10/19/2011,"73,040","12,500"
1,10/18/2011,"57,286","19,540"
2,10/18/2011,"73,949","13,713"
3,10/18/2011,"76,141","23,060"
4,10/18/2011,"57,664","7,366"
5,10/18/2011,"18,061","3,008"
6,10/18/2011,"16,753","3,606"
7,10/18/2011,"77,020","11,885"
8,10/18/2011,"46,728","6,063"
9,10/18/2011,"91,201","19,171"
11,10/18/2011,"78,586","13,531"
1,10/17/2011,"57,383","20,831"
2,10/17/2011,"72,959","14,034"
3,10/17/2011,"77,801","24,931"
4,10/17/2011,"54,682","7,174"
5,10/17/2011,"17,586","3,021"
6,10/17/2011,"16,131","3,514"
7,10/17/2011,"73,967","11,919"
8,10/17/2011,"44,638","6,009"
9,10/17/2011,"91,370","20,153"
11,10/17/2011,"77,344","14,459"
1,10/16/2011,"47,176","25,630"
2,10/16/2011,"63,413","16,539"
3,10/16/2011,"70,748","31,195"
4,10/16/2011,"52,704","9,487"
5,10/16/2011,"13,596","3,042"
6,10/16/2011,"11,978","3,738"
7,10/16/2011,"66,361","15,121"
8,10/16/2011,"38,281","7,714"
9,10/16/2011,"89,988","28,028"
11,10/16/2011,"68,488","19,798"
1,10/15/2011,"50,271","26,293"
2,10/15/2011,"61,473","18,255"
3,10/15/2011,"71,707","31,690"
4,10/15/2011,"51,397","9,792"
5,10/15/2011,"15,074","3,323"
6,10/15/2011,"13,870","3,945"
7,10/15/2011,"65,786","16,181"
8,10/15/2011,"38,800","8,581"
9,10/15/2011,"91,623","28,622"
11,10/15/2011,"72,817","19,980"
1,10/14/2011,"58,359","23,056"
2,10/14/2011,"75,519","16,792"
3,10/14/2011,"80,495","26,374"
4,10/14/2011,"56,776","8,895"
5,10/14/2011,"16,882","3,009"
6,10/14/2011,"17,137","3,903"
7,10/14/2011,"79,363","14,429"
8,10/14/2011,"41,096","6,577"
9,10/14/2011,"95,910","22,834"
11,10/14/2011,"78,971","15,808"
1,10/13/2011,"55,688","19,877"
2,10/13/2011,"77,741","14,789"
3,10/13/2011,"76,988","23,783"
4,10/13/2011,"56,505","7,478"
5,10/13/2011,"17,383","2,971"
6,10/13/2011,"17,127","3,771"
7,10/13/2011,"78,634","12,425"
8,10/13/2011,"40,609","5,674"
9,10/13/2011,"91,098","19,357"
11,10/13/2011,"74,750","13,553"
1,10/12/2011,"57,011","19,611"
2,10/12/2011,"74,506","13,901"
3,10/12/2011,"76,608","22,992"
4,10/12/2011,"55,858","6,996"
5,10/12/2011,"18,269","2,890"
6,10/12/2011,"16,712","3,532"
7,10/12/2011,"75,704","11,639"
8,10/12/2011,"45,296","5,919"
9,10/12/2011,"91,510","18,973"
11,10/12/2011,"77,427","13,545"
1,10/11/2011,"57,263","20,034"
2,10/11/2011,"75,786","13,928"
3,10/11/2011,"77,847","24,322"
4,10/11/2011,"57,389","7,205"
5,10/11/2011,"18,706","3,082"
6,10/11/2011,"17,031","3,631"
7,10/11/2011,"75,131","11,733"
8,10/11/2011,"46,354","6,153"
9,10/11/2011,"93,819","20,139"
11,10/11/2011,"78,027","13,945"
1,10/10/2011,"51,680","22,655"
2,10/10/2011,"66,517","14,201"
3,10/10/2011,"76,486","26,949"
4,10/10/2011,"51,960","7,505"
5,10/10/2011,"16,521","3,422"
6,10/10/2011,"14,344","4,042"
7,10/10/2011,"64,942","11,617"
8,10/10/2011,"37,486","5,592"
9,10/10/2011,"97,769","25,056"
11,10/10/2011,"67,897","15,806"
1,10/9/2011,"48,579","27,460"
2,10/9/2011,"60,401","17,499"
3,10/9/2011,"72,439","32,917"
4,10/9/2011,"51,998","9,962"
5,10/9/2011,"16,081","4,141"
6,10/9/2011,"13,800","4,769"
7,10/9/2011,"58,301","14,241"
8,10/9/2011,"35,622","7,579"
9,10/9/2011,"93,631","29,084"
11,10/9/2011,"67,316","20,342"
1,10/8/2011,"50,121","27,364"
2,10/8/2011,"56,033","17,796"
3,10/8/2011,"72,804","33,196"
4,10/8/2011,"49,415","10,696"
5,10/8/2011,"13,901","3,309"
6,10/8/2011,"14,691","4,363"
7,10/8/2011,"57,171","14,822"
8,10/8/2011,"29,661","6,840"
9,10/8/2011,"94,305","28,753"
11,10/8/2011,"70,741","20,856"
1,10/7/2011,"62,209","23,504"
2,10/7/2011,"78,779","17,426"
3,10/7/2011,"85,761","27,848"
4,10/7/2011,"60,461","9,666"
5,10/7/2011,"18,527","3,230"
6,10/7/2011,"18,040","4,074"
7,10/7/2011,"76,304","13,866"
8,10/7/2011,"44,680","7,012"
9,10/7/2011,"105,563","25,078"
11,10/7/2011,"84,903","17,021"
1,10/6/2011,"61,469","20,802"
2,10/6/2011,"78,854","14,820"
3,10/6/2011,"82,760","24,922"
4,10/6/2011,"60,073","7,431"
5,10/6/2011,"19,087","3,244"
6,10/6/2011,"17,451","3,798"
7,10/6/2011,"79,353","11,913"
8,10/6/2011,"48,839","6,728"
9,10/6/2011,"94,800","20,371"
11,10/6/2011,"81,962","14,293"
1,10/5/2011,"58,665","20,251"
2,10/5/2011,"75,408","14,098"
3,10/5/2011,"77,710","23,407"
4,10/5/2011,"56,351","6,984"
5,10/5/2011,"19,040","3,274"
6,10/5/2011,"17,332","3,656"
7,10/5/2011,"76,300","11,504"
8,10/5/2011,"49,093","6,512"
9,10/5/2011,"93,727","19,705"
11,10/5/2011,"79,704","13,970"
1,10/4/2011,"56,839","19,880"
2,10/4/2011,"72,614","13,455"
3,10/4/2011,"72,858","23,045"
4,10/4/2011,"54,482","6,631"
5,10/4/2011,"18,265","3,044"
6,10/4/2011,"16,963","3,566"
7,10/4/2011,"72,343","11,085"
8,10/4/2011,"45,945","5,798"
9,10/4/2011,"91,544","19,231"
11,10/4/2011,"77,203","13,117"
1,10/3/2011,"54,965","20,405"
2,10/3/2011,"70,701","13,888"
3,10/3/2011,"75,064","24,712"
4,10/3/2011,"51,229","6,461"
5,10/3/2011,"17,869","3,033"
6,10/3/2011,"16,266","3,494"
7,10/3/2011,"70,187","10,515"
8,10/3/2011,"41,793","5,497"
9,10/3/2011,"90,143","20,064"
11,10/3/2011,"75,532","14,002"
1,10/2/2011,"49,406","26,030"
2,10/2/2011,"62,598","17,007"
3,10/2/2011,"72,251","32,046"
4,10/2/2011,"44,514","8,265"
5,10/2/2011,"13,251","3,087"
6,10/2/2011,"11,996","3,622"
7,10/2/2011,"58,248","12,900"
8,10/2/2011,"33,229","6,885"
9,10/2/2011,"93,040","28,807"
11,10/2/2011,"65,939","19,387"
1,10/1/2011,"49,331","26,724"
2,10/1/2011,"57,044","17,517"
3,10/1/2011,"70,597","32,004"
4,10/1/2011,"47,699","8,976"
5,10/1/2011,"14,467","3,292"
6,10/1/2011,"13,493","4,027"
7,10/1/2011,"59,148","13,988"
8,10/1/2011,"36,819","9,364"
9,10/1/2011,"88,393","27,856"
11,10/1/2011,"71,409","19,830"
1,9/30/2011,"61,421","24,579"
2,9/30/2011,"74,590","17,027"
3,9/30/2011,"80,597","28,218"
4,9/30/2011,"55,203","9,109"
5,9/30/2011,"16,124","3,206"
6,9/30/2011,"16,471","4,125"
7,9/30/2011,"75,279","14,009"
8,9/30/2011,"39,510","6,589"
9,9/30/2011,"103,044","25,570"
11,9/30/2011,"79,025","17,461"
1,9/29/2011,"55,736","20,843"
2,9/29/2011,"69,991","14,207"
3,9/29/2011,"77,426","24,713"
4,9/29/2011,"49,477","7,046"
5,9/29/2011,"15,163","2,760"
6,9/29/2011,"15,598","3,565"
7,9/29/2011,"74,700","12,038"
8,9/29/2011,"37,101","5,184"
9,9/29/2011,"98,090","21,205"
11,9/29/2011,"76,779","14,982"
1,9/28/2011,"59,547","20,397"
2,9/28/2011,"76,195","13,891"
3,9/28/2011,"78,745","23,774"
4,9/28/2011,"57,113","7,265"
5,9/28/2011,"18,377","3,019"
6,9/28/2011,"16,987","3,528"
7,9/28/2011,"72,779","11,058"
8,9/28/2011,"44,812","6,031"
9,9/28/2011,"99,898","20,202"
11,9/28/2011,"81,173","14,383"
1,9/27/2011,"56,923","19,953"
2,9/27/2011,"74,993","13,652"
3,9/27/2011,"76,333","23,333"
4,9/27/2011,"57,619","7,074"
5,9/27/2011,"19,053","2,990"
6,9/27/2011,"17,198","3,493"
7,9/27/2011,"73,658","10,734"
8,9/27/2011,"46,399","6,032"
9,9/27/2011,"91,935","19,392"
11,9/27/2011,"77,763","13,635"
1,9/26/2011,"55,960","20,513"
2,9/26/2011,"72,559","14,100"
3,9/26/2011,"76,308","24,365"
4,9/26/2011,"53,893","6,919"
5,9/26/2011,"18,802","3,307"
6,9/26/2011,"16,714","3,523"
7,9/26/2011,"70,372","10,904"
8,9/26/2011,"43,337","5,647"
9,9/26/2011,"90,742","20,149"
11,9/26/2011,"76,630","14,257"
1,9/25/2011,"48,081","26,374"
2,9/25/2011,"63,910","17,090"
3,9/25/2011,"70,860","31,445"
4,9/25/2011,"45,617","8,518"
5,9/25/2011,"15,264","3,537"
6,9/25/2011,"12,202","3,835"
7,9/25/2011,"59,759","13,322"
8,9/25/2011,"28,998","6,473"
9,9/25/2011,"85,552","27,388"
11,9/25/2011,"67,569","19,626"
1,9/24/2011,"49,515","26,634"
2,9/24/2011,"59,419","17,329"
3,9/24/2011,"70,111","31,906"
4,9/24/2011,"44,744","9,177"
5,9/24/2011,"14,235","3,397"
6,9/24/2011,"13,667","3,864"
7,9/24/2011,"58,562","14,170"
8,9/24/2011,"34,058","7,636"
9,9/24/2011,"86,389","27,085"
11,9/24/2011,"71,423","19,705"
1,9/23/2011,"60,058","22,520"
2,9/23/2011,"77,655","16,810"
3,9/23/2011,"77,442","25,756"
4,9/23/2011,"53,733","8,586"
5,9/23/2011,"18,660","3,301"
6,9/23/2011,"17,147","3,878"
7,9/23/2011,"72,884","13,286"
8,9/23/2011,"46,256","7,367"
9,9/23/2011,"96,090","23,146"
11,9/23/2011,"80,650","15,476"
1,9/22/2011,"60,456","20,461"
2,9/22/2011,"78,300","14,813"
3,9/22/2011,"79,428","24,138"
4,9/22/2011,"59,252","7,547"
5,9/22/2011,"19,156","2,997"
6,9/22/2011,"16,976","3,684"
7,9/22/2011,"74,051","11,883"
8,9/22/2011,"48,898","6,674"
9,9/22/2011,"96,488","20,757"
11,9/22/2011,"80,094","13,818"
1,9/21/2011,"60,399","20,453"
2,9/21/2011,"75,859","14,367"
3,9/21/2011,"78,444","23,490"
4,9/21/2011,"57,519","7,159"
5,9/21/2011,"19,142","3,156"
6,9/21/2011,"17,331","3,708"
7,9/21/2011,"68,849","11,103"
8,9/21/2011,"46,644","6,075"
9,9/21/2011,"94,741","19,951"
11,9/21/2011,"80,169","13,897"
1,9/20/2011,"58,566","20,175"
2,9/20/2011,"73,279","13,808"
3,9/20/2011,"75,770","23,496"
4,9/20/2011,"56,475","7,004"
5,9/20/2011,"18,621","3,019"
6,9/20/2011,"16,896","3,455"
7,9/20/2011,"68,077","11,079"
8,9/20/2011,"45,475","5,939"
9,9/20/2011,"94,272","19,441"
11,9/20/2011,"77,351","13,472"
1,9/19/2011,"58,396","21,275"
2,9/19/2011,"74,942","15,141"
3,9/19/2011,"77,821","25,289"
4,9/19/2011,"56,574","7,335"
5,9/19/2011,"18,076","3,174"
6,9/19/2011,"16,739","3,653"
7,9/19/2011,"68,056","11,448"
8,9/19/2011,"42,525","5,785"
9,9/19/2011,"92,536","21,189"
11,9/19/2011,"76,606","14,751"
1,9/18/2011,"48,657","26,890"
2,9/18/2011,"67,521","18,621"
3,9/18/2011,"72,545","33,195"
4,9/18/2011,"52,101","9,462"
5,9/18/2011,"15,028","3,492"
6,9/18/2011,"13,130","4,008"
7,9/18/2011,"63,966","14,780"
8,9/18/2011,"39,268","8,035"
9,9/18/2011,"92,296","28,979"
11,9/18/2011,"69,591","20,451"
1,9/17/2011,"50,080","26,595"
2,9/17/2011,"63,241","20,306"
3,9/17/2011,"74,143","34,767"
4,9/17/2011,"49,406","10,137"
5,9/17/2011,"16,072","3,737"
6,9/17/2011,"15,516","4,611"
7,9/17/2011,"64,356","15,852"
8,9/17/2011,"38,205","8,854"
9,9/17/2011,"93,191","29,934"
11,9/17/2011,"75,210","21,617"
1,9/16/2011,"62,738","24,363"
2,9/16/2011,"81,627","18,421"
3,9/16/2011,"82,819","28,195"
4,9/16/2011,"60,102","9,659"
